id,parent_id,name,name_en,area
3424,34,ดอนมดแดง,Don Mot Daeng,181.399222995
3425,34,สิรินธร,Sirindhorn,905.975852599
3426,34,ทุ่งศรีอุดม,Thung Si Udom,294.43363870499996
3429,34,นาเยีย,Na Yia,280.575580673
3430,34,นาตาล,Na Tan,242.403518922
3431,34,เหล่าเสือโก้ก,Lao Suea Kok,297.748885609
3432,34,สว่างวีระวงศ์,Sawang Wirawong,308.194866543
3433,34,น้ำขุ่น,Nam Khun,325.28091249199997
3501,35,เมืองยโสธร,Mueang Yasothon,763.357175405
3502,35,ทรายมูล,Sai Mun,284.46623238999996
3503,35,กุดชุม,Kut Chum,652.377850712
3504,35,คำเขื่อนแก้ว,Kham Khuean Kaeo,644.98580833
3505,35,ป่าติ้ว,Pa Tio,368.29431199299995
3506,35,มหาชนะชัย,Maha Chanachai,492.595913554
3507,35,ค้อวัง,Kho Wang,225.008640746
3508,35,เลิงนกทา,Loeng Nok Tha,1051.55056501
3509,35,ไทยเจริญ,Thai Charoen,316.214766166
3601,36,เมืองหนองบัวลำภู,Mueang Nong Bua Lamphu,1669.52966496
3602,36,บ้านเขว้า,Ban Khwao,568.3419684830001
3603,36,คอนสวรรค์,Khon Sawan,535.3589482699999
3604,36,เกษตรสมบูรณ์,Kaset Sombun,1239.12998313
3605,36,หนองบัวแดง,Nong Bua Daeng,2478.33476587
3606,36,จัตุรัส,Chatturat,789.132301713
3607,36,บำเหน็จณรงค์,Bamnet Narong,549.1597429889999
3608,36,หนองบัวระเหว,Nong Bua Rawe,848.227358698
3609,36,เทพสถิต,Thep Sathit,1121.7491276300002
3610,36,ภูเขียว,Phu Khiao,932.036497978
3611,36,บ้านแท่น,Ban Thaen,373.550036865
3612,36,แก้งคร้อ,Kaeng Khro,768.227364273
3613,36,คอนสาร,Khon San,1529.7509057
3614,36,ภักดีชุมพล,Phakdi Chumphon,709.2558940629999
3615,36,เนินสง่า,Noen Sa-Nga,311.205451381
3616,36,ซับใหญ่,Sap Yai,323.008182481
3701,37,เมืองอำนาจเจริญ,Mueang Amnat Charoen,1057.460112
3702,37,ชานุมาน,Chanuman,688.222714518
3703,37,ปทุมราชวงศา,Pathum Ratchawongsa,582.3322389140001
3704,37,พนา,Phana,288.671143759
3705,37,เสนางคนิคม,Senangkha Nikhom,423.194018289
3706,37,หัวตะพาน,Hua Taphan,473.994342621
3707,37,ลืออำนาจ,Lue Amnat,311.19811716000004
3801,38,บึงกาฬ,Bung Kan,1051.53338526
3802,38,พรเจริญ,Phon Chareon,437.99174629400005
3803,38,โซ่พิสัย,So Phisai,707.512024829
3804,38,เซกา,Seka,1013.4380799
3805,38,ปากคาด,Pak Khat,330.031102234
3806,38,บึงโขงหลง,Bung Khlong Long,403.466338543
3807,38,ศรีวิไล,Si Wilai,401.404953439
3808,38,บุ่งคล้า,Bungkha,318.45982465
4001,40,เมืองขอนแก่น,Mueang Khon Kaen,1139.24952523
4002,40,บ้านฝาง,Ban Fang,405.532063961
4003,40,พระยืน,Phra Yuen,263.218812761
4004,40,หนองเรือ,Nong Ruea,616.511996327
4005,40,ชุมแพ,Chum Phae,782.107382768
4006,40,สีชมพู,Si Chomphu,606.600883705
4007,40,น้ำพอง,Nam Phong,879.554523761
4008,40,อุบลรัตน์,Ubonrat,484.890723699
4009,40,กระนวน,Kranuan,563.559648047
4010,40,บ้านไผ่,Ban Phai,588.257079367
4011,40,เปือยน้อย,Pueai Noi,166.284807975
4012,40,พล,Phon,527.563744188
4013,40,แวงใหญ่,Waeng Yai,264.015929336
4014,40,แวงน้อย,Waeng Noi,339.385469566
4015,40,หนองสองห้อง,Nong Song Hong,594.8392849170001
4016,40,เวียงเก่า,Phu Wiang,1069.87585109
4017,40,มัญจาคีรี,Mancha Khiri,785.55144834
4018,40,ชนบท,Chonnabot,368.24575650099996
4019,40,เขาสวนกวาง,Khao Suan Kwang,382.88304355800005
4020,40,ภูผาม่าน,Phu Pha Man,357.585056104
4021,40,ซำสูง,Sam Sung,230.999436185
4022,40,โคกโพธิ์,Khok Pho Chai,300.867771452
4023,40,หนองนา,Nong Na Kham,203.55477508500002
4024,40,บ้านแฮ,Ban Haet,257.876064638
4025,40,โนนศิลา,Non Sila,211.928866243
4101,41,เมืองอุดรธานี,Mueang Udon Thani,1306.31490727
4102,41,กุดจับ,Kut Chap,516.906391264
4103,41,หนองวัวซอ,Nong Wua So,720.965997844
4104,41,กุมภวาปี,Kumphawapi,790.528212469
